method,swarm_size,bid_compute_ms,auction_resolve_ms,learning_update_ms,comm_overhead_bytes
DACA,20,8.873868000000003,0.26863933333329965,21.18050800000001,144
Q-learning,20,2.3176006666666877,0.25682666666664744,2.2643386666665792,144
AL,20,0.12215333333337242,0.2538126666667277,0.0,144
Greedy,20,0.11780933333332891,0.2554133333334245,0.0,144
DACA,50,23.49498200000004,0.6055786666668084,66.61691733333325,264
Q-learning,50,6.161324666666677,0.6582160000000196,6.186818666666649,264
AL,50,0.2868959999999987,0.5949973333334194,0.0,264
Greedy,50,0.2501280000000368,0.5658706666666784,0.0,264
DACA,100,51.41659199999983,1.2239093333332818,147.57802999999993,464
Q-learning,100,12.211846666666542,1.286793333332857,12.597634000000255,464
AL,100,0.5369626666663881,1.1376640000000293,0.0,464
Greedy,100,0.5417360000000808,1.23996199999984,0.0,464
DACA,200,102.17158600000015,2.3597153333339804,294.8318366666672,864
Q-learning,200,23.26422000000008,2.4131379999997193,23.715161333332162,864
AL,200,1.20331666666497,2.51833666666793,0.0,864
Greedy,200,1.0836206666660548,2.435893333332804,0.0,864
