method,arrival_rate,deadline_buffer_s,seed,acceptance,welfare,energy_kj_per_task
DACA,0.5,60.0,0,89.75,0.8962577958481516,12.897641846289716
DACA,0.5,60.0,1,91.14583333333334,0.9203757095594761,13.1790614386424
DACA,0.5,60.0,2,91.0,0.9095573279426528,13.685775403035162
DACA,0.5,60.0,3,91.5,0.9228439342501693,13.934411535565365
DACA,0.5,60.0,4,87.43718592964824,0.8692530656306847,13.910642422503127
DACA,0.5,120.0,0,87.75,0.8704592383441284,13.949588851378918
DACA,0.5,120.0,1,93.75,0.9470042987977964,14.233780636343793
DACA,0.5,120.0,2,91.5,0.918479143631004,14.020597260649474
DACA,0.5,120.0,3,92.5,0.9332760355429773,13.610255817131922
DACA,0.5,120.0,4,86.4321608040201,0.8601165372193413,14.17801726056128
DACA,0.5,180.0,0,90.25,0.8995739623731289,13.427713112122301
DACA,0.5,180.0,1,94.01041666666666,0.9435543075939236,13.58865433421362
DACA,0.5,180.0,2,91.25,0.9194491321838566,14.072745068343448
DACA,0.5,180.0,3,92.5,0.928615217160246,13.513768423051575
DACA,0.5,180.0,4,89.69849246231156,0.8951009357166807,13.813519104692892
DACA,0.5,240.0,0,90.5,0.8993660755212266,13.448673482827527
DACA,0.5,240.0,1,93.22916666666666,0.9410484780095657,13.591379376484053
DACA,0.5,240.0,2,92.5,0.9261098452234985,13.441839587557745
DACA,0.5,240.0,3,94.0,0.9465400291556593,13.333164468698198
DACA,0.5,240.0,4,87.93969849246231,0.8824010689858749,14.116949807285135
DACA,0.5,300.0,0,88.0,0.8773315036718038,13.765673982478253
DACA,0.5,300.0,1,94.01041666666666,0.9432019359332996,13.301410455982614
DACA,0.5,300.0,2,92.25,0.9206458443036412,13.227974304897966
DACA,0.5,300.0,3,94.0,0.9389993755077202,12.946130061871974
DACA,0.5,300.0,4,87.93969849246231,0.8711089295170453,13.961961437232723
DACA,1.0,60.0,0,89.5,0.8957226918621564,13.128753874263658
DACA,1.0,60.0,1,93.5064935064935,0.9435983929346989,14.157782231090229
DACA,1.0,60.0,2,92.0,0.9114521182491951,13.681354420138046
DACA,1.0,60.0,3,89.5,0.896552461625138,13.810159808544102
DACA,1.0,60.0,4,86.0,0.8538769905555,14.32140948246633
DACA,1.0,120.0,0,89.75,0.8907102748020399,13.887586504653887
DACA,1.0,120.0,1,92.46753246753246,0.9256594424814043,13.848654432812838
DACA,1.0,120.0,2,93.25,0.9272700210391139,14.31661003571673
DACA,1.0,120.0,3,89.25,0.8904316397855095,13.999728616897475
DACA,1.0,120.0,4,86.5,0.8676972474849095,14.234764480172876
DACA,1.0,180.0,0,91.5,0.9085317368961727,13.80080324952344
DACA,1.0,180.0,1,92.98701298701299,0.9308791813694949,13.724474827644487
DACA,1.0,180.0,2,93.0,0.9305066746890456,13.895370376208144
DACA,1.0,180.0,3,88.0,0.8793618602301707,13.829978060462752
DACA,1.0,180.0,4,86.25,0.8514751200136399,13.901669121756843
DACA,1.0,240.0,0,90.5,0.9048518636153734,13.836601546550792
DACA,1.0,240.0,1,91.94805194805194,0.9225268384938584,13.636189968117
DACA,1.0,240.0,2,95.0,0.9476306399868387,13.547224174529328
DACA,1.0,240.0,3,90.75,0.9065004053791654,13.390949239003785
DACA,1.0,240.0,4,86.25,0.86133988741431,13.990012303666205
DACA,1.0,300.0,0,90.5,0.9006639227106396,13.921283802178992
DACA,1.0,300.0,1,93.24675324675324,0.9344951149527565,13.603878982613248
DACA,1.0,300.0,2,94.5,0.9550954911999627,13.845365623776459
DACA,1.0,300.0,3,90.5,0.9103139123412425,13.508652803580462
DACA,1.0,300.0,4,86.0,0.8532984171847411,14.414486756532783
DACA,1.5,60.0,0,89.0,0.8911983522535111,13.826961436330006
DACA,1.5,60.0,1,90.20618556701031,0.9137303689388501,14.19641799879658
DACA,1.5,60.0,2,89.0,0.8839195688153387,14.252219391338409
DACA,1.5,60.0,3,90.0,0.9021592783652691,12.845630812404707
DACA,1.5,60.0,4,87.0,0.8685095797743397,13.262939449808462
DACA,1.5,120.0,0,89.75,0.8937072020233904,13.63301859609329
DACA,1.5,120.0,1,92.26804123711341,0.9312509131564017,13.974048049547335
DACA,1.5,120.0,2,90.25,0.8991458036670645,14.515502568060107
DACA,1.5,120.0,3,91.0,0.9066634633989665,13.129546247492181
DACA,1.5,120.0,4,88.0,0.8681749973962133,13.416657946744095
DACA,1.5,180.0,0,90.0,0.8903067260278853,13.910130339190603
DACA,1.5,180.0,1,92.78350515463917,0.9416555306933566,13.790260807584511
DACA,1.5,180.0,2,91.25,0.9040092598168041,14.002770189371878
DACA,1.5,180.0,3,89.75,0.9032338638381041,13.770834723503684
DACA,1.5,180.0,4,88.5,0.8727256240025442,13.19110731838894
DACA,1.5,240.0,0,88.75,0.887496296235361,14.193913594338206
DACA,1.5,240.0,1,91.75257731958763,0.9300940846432285,13.54898099368423
DACA,1.5,240.0,2,89.75,0.9057988897819658,14.077043277577394
DACA,1.5,240.0,3,90.0,0.9046112729342161,13.044674054893711
DACA,1.5,240.0,4,85.5,0.8483574530301214,14.196027596467564
DACA,1.5,300.0,0,89.0,0.88571557455303,13.568445566862756
DACA,1.5,300.0,1,91.75257731958763,0.9285141995450706,13.782400474335093
DACA,1.5,300.0,2,92.75,0.9308987987704385,14.1245335413428
DACA,1.5,300.0,3,91.25,0.9164774459537961,13.335123668070183
DACA,1.5,300.0,4,87.75,0.8706563753783718,13.157916097509299
DACA,2.0,60.0,0,88.25,0.8746688635502534,13.699506640118138
DACA,2.0,60.0,1,91.00257069408741,0.9077830132921471,13.983909868952884
DACA,2.0,60.0,2,90.75,0.9035293633562217,14.153312157602281
DACA,2.0,60.0,3,90.5,0.9114544768724596,14.00649073765504
DACA,2.0,60.0,4,85.5,0.8624648961662921,14.286132761820419
DACA,2.0,120.0,0,90.0,0.8978856709886825,14.194177442574425
DACA,2.0,120.0,1,92.03084832904884,0.9283053544637545,14.352527751932133
DACA,2.0,120.0,2,92.5,0.9220265919434253,14.523832746240533
DACA,2.0,120.0,3,92.25,0.9193689086140714,13.987319405716917
DACA,2.0,120.0,4,90.0,0.8993488821839937,14.311476207319636
DACA,2.0,180.0,0,90.0,0.8944654298291149,14.100161219574687
DACA,2.0,180.0,1,91.25964010282776,0.9106369822936523,13.776765724933233
DACA,2.0,180.0,2,94.25,0.9509385639895229,14.439354055432313
DACA,2.0,180.0,3,92.25,0.9300849442187615,14.222551626976195
DACA,2.0,180.0,4,87.75,0.885949739204988,14.314041878570196
DACA,2.0,240.0,0,88.75,0.8784476241813344,14.336138734773513
DACA,2.0,240.0,1,91.25964010282776,0.914854219364918,14.359381515213643
DACA,2.0,240.0,2,92.25,0.9185821827362222,14.606443354360172
DACA,2.0,240.0,3,92.0,0.9207648799885615,14.022686138250513
DACA,2.0,240.0,4,90.75,0.9108278618495481,13.746427220640378
DACA,2.0,300.0,0,88.75,0.8804620162985738,13.664766417211704
DACA,2.0,300.0,1,93.31619537275064,0.9452604806459178,13.584635296402299
DACA,2.0,300.0,2,93.25,0.9378140318656163,14.475484217388502
DACA,2.0,300.0,3,92.0,0.9128598065211497,14.023326464294037
DACA,2.0,300.0,4,89.75,0.8967457595546703,14.199991535554394
